team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,UncontestedAssists,GP,MIN_x,MIN_y,DEFRTG,AST%,AST/TO,AST RAT,OREB%,DREB%,TOV%,EFG%,TS%,PACE,PIE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Knicks,2015,11896,5208,5154,14288,0.437794217,32,50,3022,6886,43.9,2412,5124,0.470725995,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,1520,-224,3.096313912,82,3961,3961,104.8,55.7,1.53,16.1,23.7,75.8,13.9,48.3,52.7,95.83,48.7,1262,1043,1050,3538
Knicks,2016,1336,576,516,1616,0.431137725,31,51,3244,7256,44.7,2540,5234,0.485288498,704,2022,34.8,1364,1731,78.8,983,2723,3706,1786,1139,581,455,377,1668,1516,-301,0.322508399,82,3971,3971,108.7,55.1,1.57,16.3,26.6,74.1,13.9,49.6,53.4,98.63,48.2,1354,1204,1147,3780
Lakers,2014,11292,4852,4982,13936,0.429684733,21,61,3054,7020,43.5,2522,5474,0.46072342,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,1589,-561,2.829154519,82,1311,3986,103.3,56.8,1.35,16.6,23.5,77.8,16.2,50.4,53.4,104.63,48.5,1305,1025,1241,3696
Lakers,2015,11512,4748,6176,17860,0.412439194,17,65,2880,6956,41.4,2241,4940,0.453643725,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784,3.212449256,82,3946,3946,109.3,51.3,1.31,14.1,23.1,74.7,13.9,46,50.9,97.99,42.4,1352,1172,1393,3918
Lakers,2016,1376,612,772,1940,0.444767442,26,56,3224,7164,45,2494,5054,0.493470518,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,1520,-564,0.356643357,82,3941,3941,110.6,53.2,1.38,15.7,25,75.8,15,50.1,53.7,100.8,44.6,1474,1087,1328,3890
Magic,2014,11880,5280,5456,14132,0.444444444,25,57,3076,6792,45.3,2522,5194,0.485560262,554,1598,34.7,1141,1565,72.9,822,2607,3429,1692,1221,647,314,441,1714,1467,-469,3.120567376,82,1445,3951,107.1,59.2,1.57,17.6,19.1,75.8,14.7,52.4,55.4,102.17,47.4,1384,957,1010,3366
Magic,2015,13912,6052,6296,15936,0.435020127,35,47,3242,7120,45.5,2606,5302,0.491512637,636,1818,35,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,1497,-133,3.130884635,82,3981,3981,104.6,59.6,1.67,17.7,23.1,76.5,14.2,50,53.3,98.16,48.8,1314,934,1079,3564
Magic,2016,1412,528,514,1588,0.373937677,29,53,3139,7133,44,2438,4994,0.488185823,701,2139,32.8,1309,1753,74.7,807,2734,3541,1820,1091,580,396,419,1584,1532,-539,0.29010989,82,3961,3961,108,58,1.67,16.8,21.6,77.4,13.3,48.9,52.4,99.11,46,1305,1097,1068,3820
Mavericks,2014,14516,6420,5978,14740,0.442270598,50,32,3255,7036,46.3,2523,4954,0.509285426,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238,3.477789816,82,1397,3976,106,57.9,1.6,16.7,17.7,79.5,13.6,50.5,53.8,97.38,46.5,1245,1150,1301,3352
Mavericks,2015,14168,5976,6804,17444,0.421795596,42,40,3064,6900,44.4,2258,4558,0.495392716,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,1757,-25,3.296194153,82,4001,4001,104.3,59.2,1.73,17.2,20.6,76.2,13.1,50.2,54.4,96.4,50.3,1213,1100,1316,3350
Mavericks,2016,1360,548,468,1140,0.402941176,33,49,2968,6750,44,2090,4277,0.488660276,878,2473,35.5,1215,1516,80.1,647,2516,3163,1705,972,614,307,280,1567,1591,-240,0.321407625,82,3956,3956,106.3,57.4,1.75,16.9,18.1,77.6,12.6,50.5,54.1,94.16,47.9,1148,951,1118,3242
Nets,2014,12052,5140,5306,15492,0.426485231,38,44,3069,6804,45.1,2528,5171,0.488880294,541,1633,33.1,1359,1817,74.8,846,2627,3473,1716,1133,576,340,372,1579,1641,-236,2.995337995,82,1344,3986,106.9,58.4,1.39,16.4,21.9,77.3,15.5,50.8,54.6,104.11,47.6,1280,1152,1133,3574
Nets,2015,11908,5208,5460,15404,0.43735304,21,61,3136,6920,45.3,2605,5412,0.481337768,531,1508,35.2,1286,1699,75.7,863,2614,3477,1829,1212,627,332,430,1476,1510,-603,2.847457627,82,3951,3951,108.5,58.3,1.51,17.1,24.1,75.7,15.1,49.2,52.7,97.37,46,1497,989,1188,3924
Nets,2016,1380,532,640,1636,0.385507246,20,62,3102,6987,44.4,2225,4396,0.506141947,877,2591,33.8,1592,2020,78.8,721,2879,3600,1756,1356,593,387,457,1726,1671,-552,0.302961276,82,3951,3951,108,56.6,1.29,16,19.6,76.1,15.9,50.7,55.1,103.58,46,1570,1176,1151,3692
Nuggets,2014,12104,4940,5460,14380,0.408129544,30,52,3099,7158,43.3,2439,5126,0.475809598,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291,2.762863535,82,1402,3976,107.4,58.4,1.49,17.3,27.5,77.9,15.7,52.7,55.8,99.51,50.2,1348,1160,1082,3516
Nuggets,2015,12728,5504,6084,16900,0.432432432,33,49,3093,7003,44.2,2437,5060,0.481620553,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254,2.962325081,82,3966,3966,106.4,60.1,1.55,17,25.8,77.3,14.8,48.9,53.1,98.16,47.9,1378,995,1070,3534
Nuggets,2016,1316,524,630,1748,0.398176292,40,42,3377,7194,46.9,2507,4829,0.519155105,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,1653,42,0.252286952,82,3951,3951,110.5,61.5,1.69,18.3,27.3,78.7,14.7,53,56.8,100.7,50.3,1472,1007,1174,3888
Pacers,2014,12208,5284,4872,12360,0.432830931,38,44,2998,6824,43.9,2386,5084,0.4693155,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,1754,23,3.007398976,82,1397,3971,105.9,55.5,1.64,17.3,22.2,75.5,14,53.5,56.5,100.36,51.1,1274,967,1070,3140
Pacers,2015,13552,5828,7932,18248,0.430047226,45,37,3142,6985,45,2479,5096,0.486459969,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,1676,140,3.347501436,82,3976,3976,100.2,55.4,1.43,16.2,23.4,76,14.9,49.7,53.6,98.99,51.8,1337,1070,1002,3408
Pacers,2016,1672,744,842,1816,0.444976077,42,40,3221,6931,46.5,2512,5046,0.497820055,709,1885,37.6,1467,1811,81,742,2702,3444,1844,1130,669,409,407,1597,1599,-18,0.403470716,82,3971,3971,106.3,57.2,1.63,17.2,21.2,75.5,13.9,51.6,55.8,98.15,50.5,1330,1060,867,3256
Pelicans,2014,12552,5508,4920,15664,0.438814532,45,37,3108,6795,45.7,2522,5212,0.483883346,586,1583,37,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,3.049833887,82,1455,3956,107.8,63.7,1.62,19.3,20.2,77,16.1,55.7,58.5,102.16,50.8,1210,1058,1123,3812
Pelicans,2015,13496,5880,5260,14856,0.435684647,30,52,3153,7040,44.8,2451,5089,0.481627039,702,1951,36,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311,3.234323432,82,3956,3956,107.3,57.7,1.65,16.9,21.2,78.8,13.5,49.8,53.7,98.91,47.2,1226,927,962,3544
Pelicans,2016,1836,728,624,1800,0.396514161,34,48,3210,7130,45,2442,4934,0.494933117,768,2196,35,1368,1825,75,703,2879,3582,1869,1054,638,453,348,1490,1581,-172,0.389513109,82,3981,3981,104.9,58.2,1.77,17.2,18.5,76.8,12.7,50.4,53.9,100.09,49.3,1276,1013,1114,3616
Pistons,2014,11748,4960,5498,15000,0.422199523,32,50,3041,7038,43.2,2338,4995,0.468068068,703,2043,34.4,1292,1838,70.3,1051,2630,3681,1771,1099,623,383,391,1559,1584,-82,2.800677583,82,1392,3966,104.3,56.6,1.51,16.7,24.2,77.5,14.7,51.1,54.1,98.05,48.1,1295,1110,930,3522
Pistons,2015,13184,5520,5412,15608,0.41868932,44,38,3111,7087,43.9,2371,4939,0.480056692,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,1773,50,3.462986198,82,3976,3976,103.4,51.2,1.44,14.9,27,79.3,13.7,49.1,52.2,97.39,48.6,1195,879,854,3640
Pistons,2016,1556,628,560,1672,0.403598972,37,45,3269,7282,44.9,2638,5367,0.491522266,631,1915,33,1140,1586,71.9,908,2838,3746,1732,973,574,310,339,1467,1434,-92,0.362586605,82,3961,3961,105.3,53,1.78,16.2,24.1,81.2,12.1,49.2,52.1,97.09,48.2,1045,832,877,3378
Raptors,2014,11360,4960,5366,14924,0.436619718,49,33,3108,6829,45.5,2382,4769,0.499475781,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,1668,252,2.915931805,82,1296,3971,102.4,55.9,1.66,17.5,21.6,77.5,13.8,54.8,58.3,100.39,54,1230,1162,1013,3582
Raptors,2015,13268,5716,6298,16552,0.430810974,56,26,3006,6669,45.1,2298,4755,0.483280757,708,1914,37,1702,2190,77.7,836,2724,3560,1536,1073,636,449,442,1610,1801,369,3.721354167,82,3956,3956,102.7,51.1,1.43,15,24.6,77.7,13.6,50.4,55.2,95.31,52.5,1163,948,898,3286
Raptors,2016,1280,524,542,1564,0.409375,51,31,3211,6918,46.4,2486,4922,0.505079236,725,1996,36.3,1615,2028,79.6,871,2676,3547,1517,1041,677,400,392,1708,1666,345,0.345418589,82,3956,3956,104.9,47.2,1.46,14.6,25,76.3,13,51.7,56.1,97.11,51.6,1224,1071,945,3418
Rockets,2014,14360,6028,7330,17984,0.419777159,56,26,3032,6832,44.4,2099,4152,0.505539499,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,776,407,437,1803,1730,282,3.312087912,82,1296,3961,102.2,57.8,1.49,17.1,21.8,81.3,15.1,56.5,60.4,101.6,54.9,1504,1149,1253,3616
Rockets,2015,13656,5840,7092,16800,0.427650849,41,41,3094,6847,45.2,2216,4314,0.513676402,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16,3.207029105,82,3966,3966,105.6,58.9,1.39,16.5,25.7,72.8,15.8,51.6,55.3,100.08,49,1597,1202,1183,3654
Rockets,2016,1432,660,612,1596,0.460893855,55,27,3305,7152,46.2,2124,3846,0.55226209,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,1674,473,0.31884058,82,3956,3956,106.4,62.6,1.67,18.1,24.6,75.8,14.7,54.5,58.3,102.54,51.6,1432,1135,1170,4018
Spurs,2014,13484,5868,5516,15504,0.435182438,55,27,3208,6854,46.8,2531,5007,0.505492311,677,1847,36.7,1368,1754,78,806,2772,3578,2000,1146,657,444,362,1564,1613,508,2.934,82,1392,3991,101.7,59.4,1.59,17.5,24.9,79.1,14.8,50.9,54.5,96.61,53,1235,979,1156,3482
Spurs,2015,14888,6848,7772,21476,0.459967759,67,15,3289,6797,48.4,2719,5279,0.51505967,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,1597,872,3.406965174,82,3941,3941,96.6,61.1,1.88,18.9,23,79.1,13.7,52.6,56.4,95.72,57.8,1103,876,996,3286
Spurs,2016,1548,656,568,1476,0.42377261,61,21,3222,6864,46.9,2469,4937,0.500101276,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,1623,590,0.335721597,82,3961,3961,100.9,60.6,1.77,18.2,24,77.6,13.9,52.4,56.4,96.41,55.1,1205,1015,1036,3344
Suns,2014,12776,5416,5706,14428,0.42391985,39,43,3178,7038,45.2,2480,4990,0.496993988,698,2048,34.1,1343,1767,76,896,2643,3539,1659,1238,700,385,337,1744,1664,-74,3.264617239,82,1445,3976,109.3,50.8,1.27,14.8,24.1,76.3,15.1,49.3,53.4,104.13,45.7,1412,1183,1250,3718
Suns,2015,12836,5400,6018,13976,0.420691804,23,59,3051,7018,43.5,2313,4900,0.472040816,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546,3.174603175,82,3941,3941,107,55.8,1.21,15.5,25.4,77.1,16.9,48.7,52.6,100.86,45,1653,1034,1416,3590
Suns,2016,1252,504,722,1804,0.402555911,24,58,3270,7260,45,2655,5406,0.491120977,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,1822,-462,0.314214464,82,3966,3966,109.3,49.1,1.27,14.5,26,76.4,14.9,49.3,53.8,102.88,46.2,1488,1108,1312,3606
Thunder,2014,12264,5316,5238,14380,0.433463796,45,37,3184,7119,44.7,2552,5255,0.485632731,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,3.162403331,82,1364,3966,100.7,55.5,1.39,15.8,27.1,77.6,15.1,49.3,52.6,98.36,50.3,1356,1049,1028,3506
Thunder,2015,15088,6872,8906,24684,0.455461294,55,27,3372,7082,47.6,2694,5137,0.524430602,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,1653,597,3.649495486,82,3966,3966,103,55.8,1.44,16.8,31.1,76,15.9,52.4,56.5,99.37,54.6,1446,1143,1085,3706
