,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,Wins,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
FGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586938518157008,0.19290991984380743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15338080541235335,0.0,0.0,0.0,-0.19290991984380743,-0.027204462261741055,0.2990902187055837,,-0.09599899350866875,-0.04353155890939097,0.08392507486885993
FGM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4099239792338824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07187149276150058,0.0,0.0,0.0,0.4099239792338824,0.08521154589109253,0.3200350302522837,,-0.14592895895363744,0.14899681945720672,0.5436680338354238
Losses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,0.0,0.0
NETRTG,0.9937225217268392,0.0014202558437870318,0.6510781552766949,-0.34651799864887156,-0.06017787880138158,0.6648129404165858,0.2602390205776656,0.44051588056847696,0.4731404528276773,0.47518538182228487,0.0,0.0,0.0,0.537283232899677,0.36961227514226686,-0.6924008920372982,0.23367273906045294,0.37242840904840024,0.0,0.7065374943887593,-0.2294800745568502,0.41705848647045207,-0.9548307662947738,0.0,0.0,0.0,0.0,0.0,-0.13690517440603361,-0.10292864191009164,0.0,0.06304735704906085,0.2606190851397288,0.3841048772031963,0.4452931664370972,-0.25028456190942766,0.0,0.02399060734371258,0.0,0.023769652589086886,-0.012611197554611922,0.9548307662947738,-0.19986517383360555,-0.20683868584914125,,0.07864925501042073,0.3101546114586021,0.47336138924699045
OPP PTS 2ND CHANCE,-0.07228097030510244,-0.1911120774819317,0.37624599393406505,-0.13258464528111083,0.03900004999608012,0.047545142433091374,0.3046961352700512,0.294532600859201,0.2016561810375288,0.3252599051328226,0.17696211082493082,0.20846416787660557,-0.1817817377617543,0.17764883981205296,0.2248347852818407,0.29436075683172896,-0.0597411908246471,-0.5462298465096124,0.28455780917849094,0.21245630342440974,0.29035472965441583,0.38772866107542664,0.045928073874453045,-0.054356423398150756,0.0,0.0,0.6430345097413797,0.0,0.055079377221886945,-0.07282737753930144,0.6399608159095425,-0.0017822434018958094,0.33632899211969336,0.33707215322017153,0.1705532887303168,0.5647753649660618,0.46572226656628973,-0.4132075359356329,0.31720122499439274,-0.42403021576752564,-0.32557405418149077,-0.045928073874453045,0.08792042067753496,0.05708212298913163,,-0.32019300665147715,-0.0957276720708155,0.3674822413277929
OPP PTS FB,-0.3216144619504617,-0.23814650330128728,0.00760284377316564,-0.061243013165666056,-0.07736468096608197,-0.1606672546791264,0.1874066789537765,0.12837184903895565,0.06787420046123002,0.17940498209358516,0.07568411503739965,0.19235321708495365,-0.15664895486430142,0.08080484185510034,-0.16576043306205232,0.45302112686268575,-0.09224492522314927,-0.4186562496304834,-0.06106849926665222,-0.157964348334396,0.2201449994851778,0.03932448119291152,0.3680936488002767,-0.32713136516050534,0.36202617469436965,0.0,0.5634412870798229,0.0,0.12570717195951325,0.038085833603151244,0.4285756820855632,0.026281451453858684,0.2667845519722185,0.05091430550406622,-0.07338544490715039,0.420260726395353,0.35963892105413836,-0.11925102876585542,-0.0030885106551666653,-0.2383764820752682,-0.1728649497824299,-0.3680936488002767,0.2774329235446242,0.186361286510787,,-0.04681390048136807,-0.05016092417930908,0.005325366589785732
OPP PTS OFF TOV,-0.3282552212115525,-0.15906164997036706,0.2785848761628744,-0.04977480511037784,0.08751771413304486,-0.14302956305150474,0.15326718410361304,0.09673654963357874,-0.008176246955855265,0.20026008071184748,0.025093132194752028,0.1343408920808166,-0.5583945649588257,0.03600672250307367,-0.007198465793358206,0.4789961659877107,0.00843191299321682,-0.5003274175641019,0.12323253424274713,0.11883936466648237,0.18067959818712168,0.23000515683886574,0.30495536086934,-0.3316007884429925,0.0,0.0,0.0,0.0,0.21178577110555188,0.07512115394420858,0.6840742724187334,0.1570269880544338,0.32222255819842555,0.1829057207951484,-0.0021019640831041126,0.9256142652862531,0.8789551095588904,-0.15446565506832607,0.17707721093585155,-0.28423765607622753,-0.17668803952168605,-0.30495536086934,0.5335205936930347,0.4167326894179589,,-0.13483699248110548,-0.040304565170768004,0.15953840881848047
OPP PTS PAINT,-0.09308557901059893,-0.0018678011707312205,0.3856437779023458,0.029706453525324934,0.2242422652115779,-0.2545578818541049,0.2831350317820176,0.1931319680394569,0.0929471146531483,0.2636526256113677,0.07156219253395274,0.07159337908392663,-0.15603636519055733,0.11097637015203465,0.09166555916264388,0.4109567838096811,0.1691217535504197,-0.29289404380620315,0.14967914867286336,0.13650741697042348,0.5827802107318064,0.5272399122926695,0.11448119805844795,-0.12606399204107385,0.4999647820357161,0.29283560511422546,0.5280745028226014,0.0,0.46297415614555393,0.3422065487349602,0.6344600248014973,0.4469667141672022,0.06908677227776024,0.09784949696692823,-0.07959839501415554,0.46058852914695336,0.3471216726087616,-0.5011506133987772,0.11616772128926033,-0.4755642713210358,-0.38290447430688523,-0.11448119805844795,-0.08124739872199611,0.2864865593322844,,-0.3267900740996262,-0.22451780206764557,0.12867208917744852
OREB,0.0,0.47373391892836075,-0.16966716232505638,0.5622661669423274,0.5536330601476719,-0.4132824008605176,-0.29593949490970717,-0.3800858913777804,-0.43159620303644997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12904737030938163,0.6052537728542438,0.3295690091965233,0.0873356869186657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05503419567023538,0.0,0.0,0.0,-0.0873356869186657,0.0820733134910429,0.2971110897795873,,-0.31596344869821297,-0.24065270346961182,0.0819650209522633
OR_PACE,0.0,0.5255347596622191,-0.25367006076716314,0.5809184453456081,0.5327390735654487,-0.36409411273094355,-0.3821365494557997,-0.4451039640684042,-0.4672096902072012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14726614669115562,0.4845211696947265,0.22709709369086836,0.05421137796936383,0.0,0.0,0.0,0.0,0.0,0.9794003212572329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01643329731655461,0.0,0.0,0.0,-0.05421137796936383,0.024642059755645526,0.22325152561278636,,-0.30080594223420504,-0.24863312682094027,0.042437836536376845
PACE,-0.1540837716448472,-0.190859259919027,0.3835931275983355,-0.018770170375424097,0.17085746403542434,-0.2896983454581262,0.378888391460907,0.26559861800832274,0.11465702360715839,0.33697591395651666,0.08593913443595246,0.15450461821780254,-0.2380527079808128,0.09368069275571163,0.15522264919898363,0.28788747447378926,0.4413128554080883,-0.2756795468321703,0.13581593933416047,0.07043168342316826,0.6600864931020195,0.5360932673389741,0.16262389152308718,-0.16351963115864218,0.0,0.0,0.0,0.0,0.21999163530999521,0.020013989896049262,0.0,0.4607768278453542,0.3290025916200983,0.28902083907327486,0.012995193581055844,0.6918400841221891,0.4944771959607213,-0.18851681088617492,0.1502962589090005,-0.37845274040773097,-0.21504438027535216,-0.16262389152308718,0.28518085268681176,0.3979951197898067,,-0.08677311375285736,0.025753207903327396,0.19394684938322881
REB,0.0,0.27241993766142664,0.046711477542245125,0.36597523700730883,0.43757125549402254,-0.3302846576618143,-0.0335522215437258,-0.1142648961648594,-0.19533996608268853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700203769794486,0.409924182274835,0.0,-0.026285394352291266,0.6872164347339323,0.47165012383158766,-0.08527482061230567,0.0,0.0,0.0,0.0,0.0,0.7256537251609138,0.6538792777479723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06268427944057288,0.0,0.0,0.0,0.08527482061230567,0.02191635706257304,0.3640493252120573,,0.013999474239521708,0.03827833577323563,0.04990579538492733
STL,0.0,0.1789630175717875,0.2833259805257638,0.12473341573043059,0.3010321038880873,0.04805723107559965,-0.08087448149481283,-0.06153302228378027,-0.12098508995379148,0.4288858414290764,0.0,0.0,0.0,0.36417710375290857,0.0,0.0,-0.19942865878950478,-0.46119024309883616,0.0,0.3226329246948378,0.10620502881765805,0.3438501225030585,-0.25541107218436226,0.0,0.0,0.0,0.0,0.0,0.08011222349993394,0.015116669582829388,0.0,-0.08003472255367576,0.0,0.0,0.0,0.3712719360302484,0.0,0.28437508990459265,0.0,-0.15419126196452207,-0.1010927349001611,0.25541107218436226,0.46887940072580275,0.23008176133533045,,0.01734899091678601,0.200547615180469,0.38418063250291423
STOCKS,0.0,0.2242513672879239,0.25276557296289953,0.16275352916434288,0.33075684833576646,0.13596312683413622,-0.12760409486448507,-0.07880207511826148,-0.13214774355436024,0.44249533665357826,0.0,0.0,0.0,0.3882648133920793,0.8404252515144384,0.0,0.0697979011008399,-0.14343291332590774,0.0,0.3605265527268002,0.09787494275108355,0.36510462108956976,-0.3222981775117506,0.0,0.0,0.0,0.0,0.0,0.03323160501523697,-0.020834102955077625,0.0,0.07176083467150339,0.8102745008655746,0.0,0.0,0.3004865008386625,0.0,0.1314820532122793,0.0,-0.16537931064946187,-0.12221327900574887,0.3222981775117506,0.2449440819245216,0.1968496333843162,,0.057149492780054725,0.18083417343056912,0.2635183337084991
STOCKS_PACE,0.0,0.29018716723946614,0.14797993461624,0.17826411083038388,0.29664240781275675,0.2260032060733723,-0.24764901953559043,-0.1639820624257032,-0.1763404273395943,0.35819327996164474,0.0,0.0,0.0,0.371745492439246,0.8342810399740646,0.0,-0.05781495127144982,-0.0735487640634042,0.0,0.353141638227555,-0.09168874588387382,0.22159305387228664,-0.3804996560464435,0.0,0.0,0.0,0.0,0.0,-0.02445095609389081,-0.022946106092654135,0.0,-0.05724489630609408,0.7493803229014268,0.9607133864947468,0.0,0.11881271706044176,0.0,0.1922143468455184,0.0,-0.06392031005836764,-0.06594588599344224,0.3804996560464435,0.1767242135598139,0.09319846395354564,,0.08220200086858885,0.17679681732304586,0.21422268915857223
TOV,0.0,-0.18578029830467224,0.2715582659384466,-0.06833502569598728,0.06184936814424359,-0.17105948009925018,0.17008822396897172,0.10107452049954703,-0.005841323626011417,0.22054969863330512,0.0,0.0,0.0,0.054198778290840965,0.0,0.0,0.10335649677595173,-0.4016467932125168,0.0,0.09003162162869442,0.1737015059919804,0.19965479218202778,0.2109382618338129,0.0,0.0,0.0,0.0,0.0,0.2500544221370578,0.11446489598883708,0.0,0.24967562640908003,0.0,0.0,0.0,0.0,0.0,-0.10986935356720406,0.0,-0.2657601513353706,-0.1579283055834478,-0.2109382618338129,0.5184879582606008,0.385379039029282,,-0.10441578864816492,-0.0026850424286880103,0.17412079622728405
TOV%,-0.22904702463081758,-0.15929000562198317,0.21241504635431518,-0.08321181270333758,0.016269683338111338,-0.10233946543258217,0.07955001905136058,0.035931029174184434,-0.04179338480558077,0.16620613766445308,0.033971815604652685,0.16850790176617064,-0.6226768483923777,0.049199321552445385,0.12227249157412547,0.1790440597370214,-0.03367040768992876,-0.39936755087514025,0.0,0.09812485203472701,-0.023661025372439234,0.06311922991693221,0.18534969557565684,-0.22783640552333922,0.0,0.0,0.0,0.0,0.22202669771986963,0.12626068020478887,0.0,0.1353664179935275,0.3541747056458902,0.2829358846661512,0.15863499756720018,0.9688518633510926,0.0,-0.06839115132546454,0.0,-0.20642173954037354,-0.13277857704320647,-0.18534969557565684,0.5261799272023302,0.3279280427384864,,-0.11050746091246147,-0.018589397359260764,0.1554740020719877
TO_RATIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05655808643330627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05655808643330627,0.7503492301128296,0.0,,0.4776237705564117,0.5083174065737502,0.16838229034748664
